MPG Variable,Regulatory Class,Model Year,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45,45 to 50,50 to 55,55 to 60,60 to 65,65 to 70,70 to 75,75 to 80,80 to 85,85 to 90,90 to 95,95 to 100,100 to 105,105 to 110,110 to 115,120 to 125,125 to 130,130 to 135,135 to 140,140 to 145,145 to 150,150 to 155,155 to 160,160 to 165,165 to 170,170 to 175,175 to 180,180 to 185,185 to 190,190 to 195,195 to 200,200 to 205,205 to 210,210 to 215,215 to 220,220 to 225
"Real-World MPG_Hwy","Car","2019","-","-","0.0%","0.1%","2.2%","20.3%","31.9%","28.4%","11.6%","1.9%","0.4%","0.2%","0.3%","0.1%","-","0.0%","-","0.0%","0.1%","0.2%","0.2%","0.1%","1.0%","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Car","2020","-","-","0.0%","0.2%","2.2%","17.1%","32.8%","26.0%","14.8%","1.6%","0.9%","0.2%","0.4%","0.0%","0.1%","0.0%","-","0.0%","0.2%","0.1%","0.2%","0.9%","0.8%","0.0%","-","0.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Car","2021","-","-","0.0%","0.2%","2.9%","15.1%","32.8%","32.6%","4.7%","2.4%","0.7%","0.5%","0.3%","0.0%","0.1%","0.1%","0.4%","0.5%","0.7%","0.2%","0.1%","0.7%","0.4%","0.0%","0.7%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1975","-","20.2%","54.7%","14.9%","10.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1976","-","6.2%","66.0%","19.3%","6.7%","1.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1977","-","2.4%","58.7%","25.1%","8.1%","4.8%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1978","-","1.0%","65.5%","21.6%","8.3%","3.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1979","-","10.8%","56.3%","21.1%","8.2%","3.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1980","-","0.1%","29.0%","41.1%","23.3%","5.8%","-","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1981","-","-","12.0%","51.6%","21.0%","11.1%","3.0%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1982","-","-","12.9%","42.4%","24.3%","16.7%","3.1%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1983","-","-","10.1%","38.0%","28.6%","19.3%","3.1%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1984","-","0.0%","12.0%","39.7%","31.7%","14.7%","1.5%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1985","-","0.0%","11.7%","31.7%","40.0%","14.7%","1.8%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1986","-","-","5.7%","33.3%","40.0%","18.6%","2.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1987","-","-","8.2%","24.1%","46.4%","19.4%","1.8%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1988","-","-","7.5%","35.4%","42.2%","14.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1989","-","-","5.0%","39.9%","41.7%","13.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1990","-","-","3.4%","42.6%","44.3%","9.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1991","-","-","2.4%","40.1%","45.2%","12.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1992","-","-","1.9%","43.6%","45.1%","9.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1993","-","-","1.0%","44.4%","45.2%","9.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1994","-","-","0.9%","50.7%","38.4%","10.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1995","-","-","2.4%","52.9%","38.4%","6.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1996","-","-","2.2%","48.2%","40.5%","9.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1997","-","-","0.6%","58.9%","35.6%","4.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1998","-","-","0.0%","55.0%","37.4%","7.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","1999","-","-","0.2%","65.7%","29.7%","4.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2000","-","-","0.1%","64.9%","32.3%","2.7%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2001","-","-","2.2%","65.5%","28.4%","3.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2002","-","-","1.4%","70.7%","23.4%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2003","-","-","2.3%","63.5%","31.8%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2004","-","-","0.3%","64.8%","33.4%","1.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2005","-","-","0.3%","53.8%","43.4%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2006","-","-","0.2%","55.1%","39.7%","4.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2007","-","-","0.1%","55.9%","38.5%","5.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2008","-","-","0.1%","46.4%","43.2%","10.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2009","-","-","0.0%","34.0%","49.1%","16.7%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2010","-","-","0.0%","27.7%","53.1%","19.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2011","-","0.0%","0.2%","19.7%","59.6%","20.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2012","-","0.0%","0.0%","20.3%","58.1%","21.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2013","-","0.0%","0.1%","17.2%","55.2%","26.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2014","-","0.0%","0.1%","13.9%","52.9%","28.6%","4.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2015","-","-","0.0%","6.2%","56.2%","25.9%","11.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2016","-","-","0.1%","5.7%","50.9%","30.6%","12.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2017","-","-","0.1%","8.3%","42.0%","37.7%","11.9%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2018","-","-","0.0%","7.1%","40.1%","35.8%","16.7%","0.1%","0.2%","-","-","-","-","-","-","-","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2019","-","-","0.0%","5.4%","41.5%","35.6%","16.4%","0.9%","-","-","-","-","-","-","0.1%","0.0%","-","0.0%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2020","-","-","0.1%","6.0%","36.7%","39.4%","15.9%","1.8%","-","-","-","-","-","-","0.0%","0.0%","-","0.0%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","Truck","2021","-","-","0.1%","11.6%","33.3%","33.8%","16.9%","3.8%","-","0.2%","-","-","-","-","0.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1975","-","4.1%","56.7%","19.9%","12.3%","4.8%","2.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1976","-","1.3%","44.6%","34.7%","9.2%","7.0%","3.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1977","-","0.5%","28.8%","49.4%","8.4%","6.7%","4.6%","1.1%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1978","-","0.2%","21.0%","50.7%","14.1%","8.2%","4.1%","1.4%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1979","-","2.4%","16.8%","52.3%","15.8%","8.9%","3.2%","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1980","-","0.0%","5.3%","31.9%","32.4%","21.0%","7.8%","0.7%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1981","-","0.0%","2.1%","21.2%","36.2%","24.5%","11.7%","2.8%","0.8%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1982","-","0.0%","2.6%","15.8%","33.1%","29.1%","13.5%","4.6%","0.7%","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1983","-","0.0%","2.3%","14.6%","36.5%","26.8%","13.0%","5.5%","1.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1984","-","0.0%","2.9%","12.1%","36.2%","22.2%","21.4%","3.5%","1.3%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1985","-","0.0%","2.9%","8.5%","40.9%","22.8%","18.1%","5.1%","1.2%","0.1%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1986","-","0.0%","1.6%","9.9%","29.7%","39.3%","14.5%","3.3%","1.2%","0.2%","0.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1987","-","0.0%","2.2%","7.1%","28.8%","33.7%","23.2%","3.7%","0.8%","0.2%","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1988","-","-","2.2%","10.8%","25.2%","40.0%","16.8%","4.1%","0.7%","0.1%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1989","-","-","1.5%","12.3%","24.6%","45.3%","12.8%","2.7%","0.5%","0.0%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1990","-","-","1.0%","13.0%","25.4%","47.5%","9.9%","2.5%","0.5%","0.2%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1991","-","-","0.8%","12.9%","28.5%","40.3%","14.2%","2.5%","0.4%","0.4%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1992","-","-","0.6%","14.5%","28.1%","41.6%","10.9%","3.3%","0.4%","0.3%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1993","-","-","0.3%","16.8%","28.0%","37.7%","13.3%","3.2%","0.4%","0.3%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1994","-","-","0.3%","20.6%","27.5%","36.1%","12.2%","2.7%","0.1%","0.3%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1995","-","-","0.9%","20.2%","25.1%","38.0%","10.9%","4.6%","0.2%","0.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1996","-","-","0.8%","18.9%","25.1%","41.7%","10.5%","2.7%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1997","-","-","0.2%","23.8%","24.9%","35.8%","12.5%","2.5%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1998","-","-","0.0%","23.9%","24.6%","37.3%","12.3%","1.7%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","1999","-","-","0.1%","28.4%","21.7%","39.0%","9.9%","0.7%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","2000","-","-","0.1%","28.6%","22.1%","40.1%","7.9%","0.9%","0.1%","0.1%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","2001","-","-","0.9%","28.7%","24.0%","35.1%","8.4%","2.6%","0.3%","-","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","2002","-","-","0.6%","32.9%","21.2%","35.5%","7.5%","2.0%","0.3%","0.0%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","2003","-","-","1.1%","30.2%","26.5%","32.6%","8.6%","0.6%","0.4%","0.1%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","2004","-","-","0.2%","31.6%","29.1%","27.2%","10.7%","0.7%","0.2%","0.3%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_Hwy","All","2005","-","-","0.1%","24.3%","33.1%","26.5%","14.7%","0.4%","0.2%","0.8%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
